ST	clonal_complex	phylogroup	phylogroup_consistency	n_genomes	n_pks_pos	pks_fraction	n_clbS_pos
942	NA	NA	NA	10	0	0.0000	0
947	ST469_Cplx	NA	NA	1	0	0.0000	0
949	NA	NA	NA	7	0	0.0000	0
953	NA	NA	NA	1	0	0.0000	0
955	NA	NA	NA	5	0	0.0000	0
961	ST12_Cplx	B2	1.000	11	10	0.9091	11
962	NA	NA	NA	2	0	0.0000	0
963	ST38_Cplx	F	1.000	24	0	0.0000	0
964	ST405_Cplx	D	1.000	1	0	0.0000	0
967	NA	F	1.000	9	0	0.0000	2
968	ST73_Cplx	B2	1.000	10	10	1.0000	10
969	NA	NA	NA	4	4	1.0000	4
971	NA	NA	NA	6	0	0.0000	0
973	NA	D	1.000	22	0	0.0000	0
974	NA	A	1.000	1	0	0.0000	0
976	NA	NA	NA	1	0	0.0000	0
978	NA	B2	1.000	29	0	0.0000	0
991	NA	NA	NA	1	0	0.0000	0
993	NA	NA	NA	22	0	0.0000	0
994	NA	NA	NA	1	0	0.0000	0
996	NA	NA	NA	1	1	1.0000	1
997	NA	NA	NA	1	0	0.0000	0
998	NA	B2	1.000	79	65	0.8228	65
999	NA	NA	NA	10	0	0.0000	0
1001	NA	B1	1.000	8	0	0.0000	0
1007	NA	NA	NA	1	0	0.0000	0
1011	NA	NA	NA	17	0	0.0000	0
1021	ST245_Cplx	NA	NA	8	0	0.0000	0
1022	ST245_Cplx	NA	NA	6	0	0.0000	0
1024	ST245_Cplx	Shigella	1.000	19	0	0.0000	0
1025	ST245_Cplx	NA	NA	156	0	0.0000	106
1029	NA	NA	NA	1	0	0.0000	0
1031	NA	NA	NA	3	0	0.0000	0
1040	NA	NA	NA	7	0	0.0000	0
1041	NA	NA	NA	13	0	0.0000	0
1049	ST155_Cplx	NA	NA	14	0	0.0000	0
1056	NA	NA	NA	17	0	0.0000	0
1057	ST14_Cplx	B2	1.000	31	28	0.9032	28
1060	NA	NA	NA	79	0	0.0000	0
1064	ST14_Cplx	NA	NA	1	1	1.0000	1
1068	NA	NA	NA	1	0	0.0000	0
1071	NA	NA	NA	1	0	0.0000	0
1072	NA	NA	NA	5	0	0.0000	0
1079	NA	NA	NA	79	0	0.0000	0
1080	NA	NA	NA	5	0	0.0000	0
1081	NA	B1	1.000	16	0	0.0000	0
1084	NA	NA	NA	3	0	0.0000	0
1086	NA	NA	NA	9	0	0.0000	0
1091	NA	NA	NA	8	0	0.0000	0
1092	NA	NA	NA	2	0	0.0000	0
1101	NA	NA	NA	6	0	0.0000	0
1106	NA	NA	NA	1	0	0.0000	0
1109	NA	NA	NA	1	0	0.0000	0
1112	NA	NA	NA	5	0	0.0000	0
1114	NA	NA	NA	6	0	0.0000	0
1115	NA	NA	NA	3	0	0.0000	0
1121	NA	NA	NA	7	0	0.0000	0
1122	NA	NA	NA	9	0	0.0000	0
1125	NA	B1	1.000	32	0	0.0000	0
1126	ST155_Cplx	NA	NA	1	0	0.0000	0
1128	ST469_Cplx	B1	1.000	8	0	0.0000	0
1130	ST243_Cplx	NA	NA	1	0	0.0000	0
1131	NA	NA	NA	4	0	0.0000	0
1132	NA	B1	1.000	1	0	0.0000	0
1136	NA	NA	NA	12	0	0.0000	0
1137	NA	NA	NA	5	0	0.0000	0
1139	NA	A	1.000	27	0	0.0000	0
1140	NA	NA	NA	10	0	0.0000	0
1141	NA	NA	NA	12	0	0.0000	0
1145	NA	NA	NA	2	0	0.0000	0
1146	NA	NA	NA	15	0	0.0000	0
1147	NA	NA	NA	21	0	0.0000	0
1148	NA	B1	1.000	12	0	0.0000	0
1152	NA	NA	NA	1	0	0.0000	0
1154	ST73_Cplx	B2	1.000	3	3	1.0000	3
1155	NA	B2	1.000	11	0	0.0000	0
1157	NA	NA	NA	2	0	0.0000	0
1158	NA	NA	NA	3	0	0.0000	0
1159	NA	NA	NA	13	0	0.0000	0
1161	ST73_Cplx	NA	NA	16	0	0.0000	0
1162	NA	NA	NA	3	0	0.0000	0
1163	NA	NA	NA	14	0	0.0000	0
1164	NA	NA	NA	1	0	0.0000	0
1167	NA	NA	NA	9	0	0.0000	0
1170	NA	B2	1.000	13	0	0.0000	0
1172	NA	NA	NA	2	0	0.0000	0
1176	NA	NA	NA	1	0	0.0000	0
1177	ST38_Cplx	NA	NA	7	0	0.0000	0
1178	NA	NA	NA	7	0	0.0000	0
1193	ST14_Cplx	B2	1.000	198	1	0.0051	1
1196	NA	NA	NA	22	0	0.0000	0
1201	NA	NA	NA	5	0	0.0000	0
1202	NA	NA	NA	1	0	0.0000	0
1204	NA	NA	NA	8	0	0.0000	0
1205	NA	NA	NA	8	0	0.0000	0
1228	NA	NA	NA	1	0	0.0000	0
1231	ST95_Cplx	B2	1.000	5	5	1.0000	5
1236	NA	NA	NA	8	0	0.0000	0
1244	NA	NA	NA	1	0	0.0000	0
1246	NA	NA	NA	8	0	0.0000	0
1248	NA	NA	NA	11	0	0.0000	0
1249	NA	NA	NA	4	0	0.0000	0
1250	NA	NA	NA	1	0	0.0000	0
1252	NA	NA	NA	4	0	0.0000	0
1257	NA	B2	1.000	2	0	0.0000	0
1258	NA	NA	NA	2	0	0.0000	0
1260	NA	NA	NA	2	0	0.0000	0
1262	ST73_Cplx	NA	NA	9	9	1.0000	9
1265	NA	NA	NA	1	0	0.0000	0
1266	NA	NA	NA	2	0	0.0000	0
1273	NA	NA	NA	9	0	0.0000	0
1276	NA	NA	NA	8	0	0.0000	0
1278	ST73_Cplx	NA	NA	12	10	0.8333	12
1283	NA	B2	1.000	12	0	0.0000	0
1284	NA	NA	NA	8	0	0.0000	0
1286	NA	NA	NA	29	0	0.0000	0
1290	NA	A	1.000	2	0	0.0000	0
1294	NA	NA	NA	5	0	0.0000	0
1295	NA	NA	NA	1	0	0.0000	0
1297	NA	NA	NA	1	0	0.0000	0
1298	ST469_Cplx	NA	NA	5	0	0.0000	0
1300	NA	NA	NA	3	0	0.0000	0
1302	NA	NA	NA	5	0	0.0000	0
1303	NA	A	1.000	5	0	0.0000	0
1304	NA	NA	NA	21	0	0.0000	0
1307	NA	NA	NA	3	0	0.0000	0
1308	NA	NA	NA	35	0	0.0000	0
1310	NA	NA	NA	6	0	0.0000	0
1312	NA	A	1.000	25	0	0.0000	1
1314	NA	NA	NA	1	0	0.0000	0
1316	NA	NA	NA	26	0	0.0000	0
1317	NA	NA	NA	3	0	0.0000	0
1319	NA	NA	NA	2	0	0.0000	0
1323	NA	NA	NA	1	0	0.0000	0
1324	NA	NA	NA	6	0	0.0000	0
1325	NA	NA	NA	2	0	0.0000	0
1326	NA	NA	NA	7	0	0.0000	0
1328	NA	NA	NA	2	0	0.0000	0
1331	ST73_Cplx	NA	NA	1	1	1.0000	1
1333	NA	B2	1.000	3	0	0.0000	0
1340	NA	NA	NA	1	0	0.0000	0
1380	NA	NA	NA	23	0	0.0000	0
1385	NA	NA	NA	11	0	0.0000	0
